Hotel_Name,Positive_Review
Hotel Arena, Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area 
Hotel Arena, The breakfast was the only positive element of this hotel original in taste and a good selection of selection of health food dishes on the buffet We did not try the restaurant but the whole set up with its view and terrace on the park is exceptional We had a wedding in the hotel s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location 
Hotel Arena, The location is good You need 15min to 20min walk to the center depends on your speed The hotel locates in a beautiful park and have a nice interior design The bed was really comfortable 
Hotel Arena, Bed was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly 
Hotel Arena, Lovely hotel with extremely comfortable huge double bed We stayed in the split level room which we really liked If you have difficulty getting up stairs request if you can stay in a room all on one level The Oosterpark is beautiful the shops and restaurants are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the Hotel All in all a beautiful hotel with friendly staff shampoo and soap in the shower Tea and coffee facilities in your room and in a location that is more relaxing than the central Amsterdam We will be returning 
Hotel Arena, Great location in the park near museums and restaurants Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious rooms Big breakfast spread perfect for starting the day off right Friendly and helpful staff I m
Hotel Arena, The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around 
Hotel Arena, Great hotel original concept style
Hotel Arena, The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits 
Hotel Arena, The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel 
Hotel Arena, The staff were so friendly and helpful plus the bar restaurant area is beautiful Located in its own park and the old building is simply stunning 
Hotel Arena, Friendly staff The bar restaurant area is lovely and overlooks the park Very modern 
Hotel Arena,No Positive
Hotel Arena, The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible 
Hotel Arena, The room was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing
Hotel Arena, Very nice hotel manager he upgraded us because we had troubles with two different rooms They do everything to make you feel welcome and comfortable The park directly in front of the hotel is amazing rent a bike directly and make a tour Also the bathtub and bed is great 
Hotel Arena, the building meeting rooms modern style of my room park
Hotel Arena, Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed 
Hotel Arena, The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam
Hotel Arena, Location on the park with easy access to tram lines was very good 
Hotel Arena, The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything 
Hotel Arena, Nice restaurant although felt breakfast was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous 
Hotel Arena, Love the design of the renovated product The park nearby for a walk 
Hotel Arena, Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back
Hotel Arena, The brunch to purchase in the morning was good 
Hotel Arena, The location of the hotel is super opening out to Oosterpark The staff was very helpful and friendly The bed was very comfortable The room was spacious enough for 2 people 
Hotel Arena, Massive bed
Hotel Arena, The hotel looks really impressive Set in a beautiful location The room was clean well decorated and the bed was one of the most comfortable I d ever slept in 
Hotel Arena, The quality of the hotel was brilliant and even though it was under renovation there was no disruption or noise The location of the hotel is far enough away from the centre of the city that it did not feel like a tourist trap and it is also situated in a fantastic park near some great bars and restaurants I cannot fault the staff facilities or the price and would highly recommend this to anyone 
Hotel Arena, clean and new
Hotel Arena, My room was upgraded because they are doing renovations in part of the building The room I was given was enormous and very comfortable I wish I had been staying for a week not just one night 
Hotel Arena, The location and views 
Hotel Arena, The location in a quiet park with a great terrace The space and the rooms are exquisite with a lot of taste The gigantic beds pillows and bedsheets are super comfortable It s dark and silent which is something impossible to find in Amsterdam Staff was very friendly and accommodating The restaurant with a view over the park is great to work and eat
Hotel Arena, Beautiful setting in a lovely park room very spacious clean and comfortable bar area looking over the park was stunning located on the peaceful outskirts of the city but very easy to travel around on the tram system old building with a modern refurbishment it suited us perfectly
Hotel Arena, good and comfortable mattress near tram station helpful people from recepction
Hotel Arena, The hotel is lovely and the staff were amazing They even sorted out booking a meal and taxi for me when I emailed them about this when I first booked online This was such a good idea as we found out after that it was one of the best in town It is set in a park and just looks amazing from the outside and inside is top draw too I would highly recommend 
Hotel Arena, location in the park Cool interior design comfy bed 
Hotel Arena, Location was good but needed tram subway to get to centre of Amsterdam Room was nice but stairs were hard to get up and down to get to bed at night room was clean hotel was nice and modern located in next a lovely park staff were friendly 
Hotel Arena, The location was perfect and so beautiful Only a tram ride from the centre anywhere really 
Hotel Arena, Basically everything The style of the hotel is really great The breakfast is really good good quality food really really nice coffe order from the bar The wifi was good in my room and also throuout the hotel The location is near a metro station its easy to get to the center I loved this hotel honestly and i will stay here again for sure The staff cares that you have a good stay i really liked that Thumbs up from me 
Hotel Arena, The property is beautiful
Hotel Arena, Most of the thing we experience is a very good just keep it up
Hotel Arena, I d booked the trip as a surprise for my partners birthday We got a free room upgrade upon arrival and balloons delivery to the room by the front of house staff to wish him a happy birthday Great staff very welcoming friendly and helpful Lovely room very comfy bed 
Hotel Arena, Location is good They gave me some freebies for noisy room
Hotel Arena, The hotel was fantastic in a lovely setting of a park The hotel itself has been decorated to a very good standard 
Hotel Arena, Great trip staff very friendly
Hotel Arena, Nice open room Bed plenty of room Bath room clean Fridge was a nice touch Easy to get in and out Staff accommodated us fast and politely
Hotel Arena, To begin with we were upgraded which made my wife very happy the room was spacious and warm with minimal noise Breakfast has improved hotel was well looked after It has undergone some major renovations since I last stayed there The new wing looks beautiful and the company has invested a lot into the property Super impressed with the Park and the way nature comes together with the hotel New dining area is magnificent and all food looked fantastic we preferred to eat out for dinner because of sight seeing 
Hotel Arena, Beautiful design comfortable room friendly staff Quick tram to leidseplein and Metro to central 
Hotel Arena, The bath and shower room was amazing Beautiful hotel They are going through a refebishment at the moment and I am looking forward to when it is complete to see the final look which I think will look even more stunning then the building is already
Hotel Arena, The building was fantastic All renovated areas were very stylish The receptionist was very friendly and gave us a warm start in this place 
Hotel Arena, The young guy at the reception was really friendly and helpful Dinner has been cooked excellent 
Hotel Arena, The location is really good the room was spacious and comfortable the bathroom as well 
Hotel Arena, breakfast on first day bacon ran out new batch was undercooked and not very hot limited choice of cereal and bread next day much improved more cereal yogurt and cooked tomatoes added 
Hotel Arena, Lovely hotel with lots of history Great food in the restaurant and a very comfy bed
Hotel Arena, The whole hotel was very clean the staff were very healpful and friendly The dinning area is very modern and relaxing the rest of the hotel has hints of age to it but it works really well The room was exactly how the pictures looked very clean comfy and modern would definitely stay again 
Hotel Arena, The location on the park is excellent and very peaceful The restaurant cafe in the lobby is a wonderful environment and they make excellent coffee 
Hotel Arena, Funky rooms well designed hotel friendly and helpful staff comfy bed 
Hotel Arena, Hotel was really nice staff were very friendly and helpful I requested a split level room which they gave me when I arrived The room it self was extremely nice and clean and the bed was very comfy The hotel is not in the centre however is a walkable distance or easily got to by the Metro Would definitely recommend this hotel and will be returning 
Hotel Arena, We have stayed here a few times and always enjoyed the fab rooms There are renovations going on that have just made the place extra special Our room 065 was just gorgeous 
Hotel Arena, The location is beautiful I m sure after the renovations this will be a lovely hotel 
Hotel Arena, Beautiful room that was ready early with the most comfortable massive bed Backs straight onto the park can t wait to come back when all of the construction is complete We didn t hear anything building work related whilst staying Loved the atmosphere and feeling of all the areas of the hotel Especially the hall to our room 
Hotel Arena, We like the building although still under construction it has a nice atmosphere Of course location is perfect near the city centre and the parc 
Hotel Arena, The room was lovely great hotel beautiful location 
Hotel Arena, The restaurant opened 2 days before however the food was good especially the burger Good breakfast with fresh orange juice WIFI in all hotel
Hotel Arena, Beautiful restaurant with great food and a lovely park to look over quirky and grand in design with relaxing rooms Staff a very helpful and chatty It s a unique place once completed its going to be a fabulous venue we are keen to return in the summer
Hotel Arena, The bed was really comfortable and loved the style of the hotel room bed upstairs bathroom modern and lots of glass and gloss The food was absolutely gorgeous 
Hotel Arena, Pretty building interesting rooms 
Hotel Arena, Room changed quickly when we had to complain about the cold and strong smell of new paint Free drink card to make up for renovations inconveniences 
Hotel Arena, rooms were large and modern and hotel was not a normal chain A lot more interesting and quirky
Hotel Arena, Large bed 
Hotel Arena, It s a beautiful hotel or should I say will be when the renovation is finished 
Hotel Arena, Good location Cheap 
Hotel Arena, Anyways the staff was extremely friendly no complants there Location of the hotel is about 1km from the nearest metro station The rooms were tidy and the beds were good to sleep in However there where several small faulty details unfinished renovation in the room like lamp on the floor nails sticking out of floor which rips your sock etc so nothing major but adding them all together it makes this as a three star hotel in my opinnion 
Hotel Arena, Beautifull buiding next to Oosterpark Friendly staff Great breakfast 
Hotel Arena, Great room very comfortable bed Nice and quiet Fantastic decor and amazing staircases The location is great if you want to avoid the hectic nature of the city centre and red light district but can be walked in around half an hour The immediate area is fantastic great Park amazing local restaurants frequented by locals etc one of which has the largest selection of beer available Near by brewery that do tours not Heineken and great beer Good museum near by and even a local coffeeshop that we better value than those in the center 
Hotel Arena, We upgraded to a larger room Had the bath infront of the bed which allowed us to relax before having the best nights sleep I ve probably ever had due to the comfort of the beds 
Hotel Arena, A very quirky hotel that managed to keep its identy despite moderisation situated in a lovely location Bed was extrememly comfortable and cleanliness of hotel was outstanding 
Hotel Arena,No Positive
Hotel Arena, beautiful surroundings great location Old world style of the hotel is really different
Hotel Arena, Location
Hotel Arena, Location was ok and has access to all the public transport a very pleasant park is situated next good for a jogger or just a stroll 
Hotel Arena, The bed was amazing Actually our whole room large room The park burger at the restaurant downstairs was also heaven 
Hotel Arena, super comfy beds cozy rooms lovely staff pretty sweet location I love amsterdam 
Hotel Arena, Staff were brilliant Really helpful attentive and friendly Amazing building with lots of history too 
Hotel Arena, Great Customer Service Staff very responsive to our individual needs also helpful in giving directions getting tickets and Metro passes 
Hotel Arena, The rooms were comfortable and clean and the bed accommodated sleep well Restaurant and bar staff were very helpful and friendly The breakfast was quite good where there was a variety of selections available to choose from 
Hotel Arena, Good water pressure in shower
Hotel Arena, The hotel is located in a very nice area of Amsterdam There are museums parks shops and restaurants around as well as many tram stops that can take you everywhere in the city Staff were very kind 
Hotel Arena, We upgraded our room had a huge room with a large bath tub 
Hotel Arena, Vibe is good location good and historic building is will be beautiful
Hotel Arena, Generally clean and interestingly designed But a little worn Meanwhile there is massive renovation underway which will probably make it a much nicer hotel but in the meantime you will walk up a wooden ramp to reception and many amenities are in process The reason to stay here is that it s cheaper than other similar properties possibly because it s in renovation and also because it is off the beaten path though not in a bad neighborhood just not close to the hot spots 
Hotel Arena, Architecturally the building is terrific you can feel the history of the place which just isn t there with purpose built chain hotels The Arena has the look and feel of a boutique hotel lushly decorated wrought iron work on staircases chandeliers the up lighting and high windows and ceilings gives a great sense of space Location is fab in the green space of Oosterpark but only a ten min walk to the City Halls The rooms are quirky with a small footprint THe ground level has a closet small sofa WC and shower fridge table and chair with the huge bed on a mezzanine level There s a tv on each level 
Hotel Arena, Breakfast was very nice and the staff were so helpful especially with giving us advice on transport around the city Also the bed was comfortable so we slept so well each night 
Hotel Arena, This hotel was great value for money Only a few tram stops away from the city centre It was close enough for all the attractions of Amsterdam but far enough away that it was a quiet neighbourhood The zoo is literally a 10 minute walk away or one tram stop Very accessible The room was extremely nice and the bed was outstandingly comfy best nights sleep I ve ever had I would highly recommend this hotel 
Hotel Arena, Very friendly staff lovely comfy room
Hotel Arena, food recommendations were brilliant
Hotel Arena, The inside of the hotel is very classy He staff are friendly and helpful Our room was great Huge bathroom with double sinks and showers small sitting room with a kettle and fridge beautiful bedroom with a big comfortable bed The hotel is a nice area There is a big park next door and it is only a 20 minute walk to the Heineken Experience 
Hotel Arena, Bed was really comfy and we had a canal view which was nice to wake up to The hotel was warm and beautifully decorated We were given a free drink voucher to compensate for construction which was really nice
Hotel Arena, The location of this hotel is great It s very close to the tram lines and subway The staff was very helpful in getting us a room that was to our liking The breakfast buffet was fine 
Hotel Arena, Breakfast was plentiful although often cold when meant to be hot bacon sausage etc Next to park which makes for a pleasant evening walk and tram services nearby Staff very friendly willing to help 
Hotel Arena,No Positive
Hotel Arena, Well located if you don t mind taking the train 
Hotel Arena, this beautiful building has huge potential but you get the feeling that while the extention work is going on the hotel is less of a priority It is starting to look frayed at the edges But there is a good and funky atmosphere and the breakfast was very good The location was also perfect for us as we were visiting relatives nearby and it is also a quite airy part of amsterdam 
Hotel Arena, Liked the staff The location
Hotel Arena, Special ambience of old convent and medical institution converted into a modern style hotel Relaxed atmosphere Nice restaurant and bar area with terasse Good accessibility of public transport 
Hotel Arena, Room was a great size and comfy bed
Hotel Arena, The staff were lovely and very helpful Bar and restaurant very good not far from all attractions very good tram links 
Hotel Arena, There was a lot of variety at breakfast and the fresh baked croissants were excellent The snacks in the restaurant were also very good The staff at the front desk was cheerful and helpful The bed was comfy 
Hotel Arena, Bed was comfy with duck feather duvet and pillows We stayed in a deluxe split room and it was very nice Reception staff bar staff was friendly and helpful 
Hotel Arena, Very helpful and friendly staff Free WiFi Location and proximity to public transport Provision of iron and board 2 televisions
Hotel Arena, The hotel has its own character and a long history Very cool vibe We got a round of free drinks as consolation to the construction work outside 
Hotel Arena, Good breakfast nice beds nice to live at a hotel with history 
Hotel Arena, Comfy beds we upgraded to a suite which was very spacious with a bath staff lovely all speak English restaurant food exceptional and great choice at breakfast Tram stops right outside and next to a lovely park
Hotel Arena,No Positive
Hotel Arena, The friendly staff in bar restaurant The evening meal was excellent A pity the club sandwiches at lunch were awful After the building renovations I think this hotel will be fabulous It has so much history and is so unusual Loved it 
Hotel Arena, The staff were very friendly and helpful and our room was amazing the bed was really big and so comfy 
Hotel Arena, Great room great staff great food 
Hotel Arena, Food in restaurant Quirky place use to be a hospital Reasonably convienent for transport into city centre Beautiful park beside hotel Walk through to other side for some nice cafe basrs for breakfast 
Hotel Arena, Beds were comfy the bar staff and reception staff were very helpful when we asked to move rooms
Hotel Arena, Beautiful gothic hotel Very good location Some nice bars and restaurants Fabulous Thai restaurant 5 minutes away 3 metro stops from Dam centre Really enjoyed staying there There was building work ongoing but you would never have know 
Hotel Arena, The whole experience was amazing there were construction works going on but the staff made sure it didn t impact your time there at all very friendly and very helpful
Hotel Arena, Room was lovely we got a free upgrade Bathroom fab Excellent breakfast Nice sitting out area for those who wished to smoke Reception and dining bar staff exceptionally nice 
Hotel Arena, Quiet location and thankfully the construction to the exterior of the hotel did not impact our stay 
Hotel Arena, Very comfortable bed and cool hotel
Hotel Arena, Hotel was very clean and staff helpful Very trendy and reasonably priced
Hotel Arena,No Positive
Hotel Arena, The bed was huge and comfortable Massively high ceilings and the feature staircase 
Hotel Arena, Staff were very friendly helpful The kitchen provided us a great meal the bar staff were nice and the breakfast bar was very impressive 
Hotel Arena, The style of the room was unique and amazing with a light room laminate floors and a stunning black bathroom Our kingsize was very comfy and spacious The hotel itself is very beautiful and they have kept the original staircases and high ceilings All of the staff spoke English perfectly just like most people in the city and I couldn t fault them on anything they were always willing to answer our questions and even gave us a map and told us where we could find some interesting places Hotel Arena s location is pretty perfect as it is less than a 10 minute walk from a tram stop to Centraal Dam Square Rembrandtplein and any other places you might be interested in exploring It s also right next to Oosterpark so I can imagine how nice it would be to go to in the spring and upcoming summer Really loved this place overall and a great hotel to stay at especially if it is your first time in Amsterdam as it was mine 
Hotel Arena, Location was great for us as was close to my sister there was always someone on the desk the bars were lovely the building was impressive but building work going on which we didn t know about but I m sure it will look amazing Really funky room 
Hotel Arena, The bed was super cosy The staff was nice The hotel isn t central but if you get bikes it s very close and easy to cycle 
Hotel Arena, Staff were fantastic and changed our overall view of the hotel Got off to a bad start room 240 was tiny and they changed us No argument Bar staff and reception staff really friendly and pleasant 
Hotel Arena, Cool hotel great receptionist who gave us ideas of what to do in Amsterdam delicious supper at the hotel And great shower 
Hotel Arena, Bar and restraint staff were great reception was a bit lacklustre Also th bathroom walls are completely see through Wouldn t advise number 2 s if you are sharing a room 
Hotel Arena, The staff was very nice and friendly the size of the room was really great and the style of the hotel is also very nice The bed was quite confortable 
Hotel Arena, Average good accommodation Big room Helpful staff Room cleaned daily Big hot shower Comfy bed 
Hotel Arena, The only good thing about this hotel is the friendly staff and the way it looks Considering they have work going on Location is great 5mins walk to tram stop n your in damn square in 10mins Also we bought 3 day travel ticket from the train station for 25 euros n the hotel sell this for 17 50 euros so buy from hotel it s cheaper Trains are not included in the hotel travel card but u won t need trains if your staying in dam Only to and from airport 
Hotel Arena, The place looked amazing and it was close enough to everything that walking was not a hassle
Hotel Arena, Bed was nice 
Hotel Arena, Really nice building but lots of building work going off But only outside so not a problem Good size rooms fairly modern Good location away from the center but easy to get to by tram WiFi worked perfectly and quickly 
Hotel Arena, Loved the decor in the hotel and the staff where very helpful and friendly
Hotel Arena, 24 reception Changed rooms immediately after complaint
Hotel Arena, The staff were very friendly and helpful Rooms s good size Nice bathrooms Bar area very comfortable Complimentary drink a nice touch A little walk from centre but gave us a chance to look around Plans for development look amazing Would like come back when completed 
Hotel Arena, Cool hotel nice feel really comfy beds staff couldn t do enough for you
Hotel Arena, The room was exactly as expected The bed was the most comfortable bed that we have ever slept on the shower was HUGE Easy check in and check out only a 5 minute walk to the grocery store staff were very friendly and public transport is only minutes walk from the hotel room or if you like walking everything you need to see is only a 30 45min walk 
Hotel Arena, Great hotel and quiet university area Wonderful comfy beds in clean well equipped rooms The food is wonderful 
Hotel Arena, The bed and size space in room was amazing very comfortable stay Very happy with our room for the money that we paid 
Hotel Arena, The staff were exceptionally friendly and attentive The room itself was amazing and the bed itself was so comfy we struggled getting up of a morning I would recommend this hotel to anyone 
Hotel Arena,No Positive
Hotel Arena, Our room was very uniquely arranged with an impressive double headed shower and massive windows Very memorable The hotel is right next to a large nice park Staff was friendly 
Hotel Arena, The rooms were gorgeous bathroom to die for we upgraded to a suite with bath the hotel interior very nice lovely atmosphere Due to building work In progress we were given a voucher for a free drink at the bar nice gesture 
Hotel Arena,No Positive
Hotel Arena, The decor the atmosphere the welcoming staff the room was incredible
Hotel Arena, The hotel is amazing Beautiful interior We weren t disrupted by the work going on as the place is sound proof Our room was fantastic the only thing I should have done was ask for a fan at reception because the room temperature was too hot and the air con wouldn t go below 21oc The room layout with the bedroom upstairs was lush 
Hotel Arena, Room service good quality staff
Hotel Arena, We loved the setup of our room we liked the separation of the bed from the rest of the room the meals were fantastic too very filling 
Hotel Arena, Hotel was very modern and location was great Complimentary drinks was a really nice touch 
Hotel Arena, Stayed in this hotel for 4 nights with my boyfriend The hotel was perfect A short distance to the square with the tram located near the hotel Perfect loctation lovely park beside the hotel with cafes nearby Staff were very helpful and the hotel in general is fabulous very modern and the bedroom was just great the layout was fantastic with cute steps up to the bed which was super comfy We really enjoyed our stay 
Hotel Arena, Staff were helpful and friendly from start to finish 
Hotel Arena, absolutely stunning hotel lovely food and selection of drinks and a really good location
Hotel Arena, The bedrooms were pleasnt the bed was really comfy It was nice the shower was clean I enjoyed my room Wasn t allowed to check in till 3 but managed to get us a room by 2ish which was good 
Hotel Arena, The room was pleasant We liked the big bathroom and the bed was large and extremely comfortable The mini fridge safe tv s with English channels and the ability to make drink were pluses
Hotel Arena, Nice comfy and cosy rooms with very big windows so there is plenty of light A lot of trams in the vicinity so it is easy to the city centre or any attraction 
Hotel Arena, The room is beautiful and comfortable the shower is one of the best I ve ever seen The staff is very kind I would very much recommend this hotel if you don t mind travel 20 min to the center 
Hotel Arena, The room we upgraded to was very nice 
Hotel Arena, Location was close enough to anything we needed hotel was big clean spacious rooms and nice bar with friendly staff at a very good price would happily stay again
Hotel Arena, Polite staff 
Hotel Arena, The staff we encountered were absolutely delightful and very helpful The rooms were clean stylish and comfortable The hotel was conveniently located within walking distance of the centre of Amsterdam 
Hotel Arena, nothing
Hotel Arena, Staff was vey pleasant The place is very well designed
Hotel Arena, Location is good it takes 20 mins by feet and 10 15 mins by tram to get to the city center 
Hotel Arena, The room was stunning Did not expect the quality standard received after having to walk past a building site and enter through a dodgy back door Will definitely recommend 
Hotel Arena, Very smart room good food 
Hotel Arena, Breakfast Staff
Hotel Arena, staff helpful but maybe because of building upheaval hotel history and architecture a real treat would stay again try another room and see the hotel when fully refurbished possibly have a discount due to the visit being in middle of a bulding site and not as expected when booked 
Hotel Arena, The hall
Hotel Arena, Nice staff good rooms with separate little living room and bedroom did not experience any problems with the reconstruction 
Hotel Arena, Staff were really friendly 24hour front desk beautiful hotel the room I stayed in double deluxe was amazing lots of restaurants nearby for good food And easy trams into central 10 mins I highly recommend 
Hotel Arena, Very beautiful building cozy room cool bar 
Hotel Arena, Staff were very friendly on arrival we were upgraded on arrival fantastic room with lovely no fern decor there was works going on outside the hotel but we never heard a thing and it didn t make a difference would definable return to the hotel arena
Hotel Arena, Close to Tram Excellent room nice staff 
Hotel Arena,No Positive
Hotel Arena, Good Wi fi 
Hotel Arena, Good location next to the tram but is under going a major revamp No noise problem but the lovely garden is gone Sill good value for money This is a big place lovely old building 
Hotel Arena, The best thing at this price excellent price in relation to the modern and spacious room received 
Hotel Arena, Character of the hotel was great Location was good
Hotel Arena, Hotel and rooms were beautiful My friend and I wanted some luxury on our trip to Amsterdam and this hotel provided just that The staff were extremely friendly and gave us lots of advice on where to go local life etc You will need to get trams metro from this hotel which all added to the experience of our trip Would definitely recommend this hotel 
Hotel Arena, The staff were extremely polite and helpful i honestly couldn t fault them The room itself was clean and comfortable and the location was great 
Hotel Arena,No Positive
Hotel Arena, friendly staff place is very clean and charming beautiful restaurant and bar food looked I didn t try it way better than the usual Amsterdam culinary sins
Hotel Arena, This was our first time in Amsterdam and the staff were incredibly helpful They took special notice of the fact that is was my birthday and were so friendly 
Hotel Arena, Great location lovely room
Hotel Arena, Very nice property stylish hotel friendly staff spacious rooms except the one with stairs and close to the city center just a couple of stops by tram 
Hotel Arena, Boutique atmosphere good size rooms with comfortable beds and stylishly designed bathrooms 
Hotel Arena, It was a well kept hotel in a lovely area The staff and services offered were excellent We felt it was a great value Our beautiful room with a view was a bonus 
Hotel Arena, The hotel is beautiful the pictures here arent doing it justice at all right on Oosterpark which is awesome The location is great walking distance to the tram public transport to anywhere and 5 10 mins to POI convenience shops and small local bars on the quieter part of the city You can also get to the city center by walking but it will take about 20 30mins Very clean room made and towels changed everyday Almost perfect 
Hotel Arena, Crews being nice and helpful Environment quiet and peaceful but unfortunately certain areas under construction 
Hotel Arena, The bathroom and sofa are so good The building style is really awesome 
Hotel Arena, We liked the location and the extra pleasant staff They were very accommodating to our requests e g extra towels and specialty pillows 
Hotel Arena, I loved the hotel design and decoration Staff were extremely nice always helpful and smiling That is something you really appreciate when you are on a 24 hour business trip Breakfast was way better than I expected although coffee was quite bad That is something most hotels fail to nail and I think most guests find it important Rooms are fantastically cozy clean and comfortable 
Hotel Arena, The bed was comfy and large The wifi was fast and good Separate living area Powerful shower
Hotel Arena, Got in late and hadn t eaten 24 hour pizza delivery offered at front desk brilliant at 12pm friendly staff and wifi in room hotel is 15 mins walk from dam square nice to be away from the hussle and bussle in town 
Hotel Arena, We stayed at the hotel for 5 nights Hotel is a bit far from the center but with the tram and metro you arrive at the center in minutes Hotel is situated in a quite area The rooms are very spacious comfortable and cosy The staff is very nice and helpful
Hotel Arena, Really enjoyed our stay at hotel arena staff were fab made us feel really welcome even made us a coffee at 6am whilst waiting fir our taxi to the airport
Hotel Arena, The matress and pillows were exceptionally good Best sleep in terms of comfort ever I would be grateful to know your suppliers as would like to replicate this comfort in my own home 
